,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
13,13,13,Round Chilli / Milagai Urundai, 1, 25,2016-6-10
14,14,14,Radish / Mullangi, 1, 7,2016-6-10
15,15,15,Drumstick / Murungai Chedi, 1, 25,2016-6-10
16,16,16,Drumstick / Murungai Maram, 1, 23,2016-6-10
17,17,17,Nelli Kai, 1, 23,2016-6-10
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-6-10
19,19,19,Perkangkai, 1, 20,2016-6-10
20,20,20,Snake Guard / Pudalai, 1, 10,2016-6-10
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 6,2016-6-10
22,22,22,Sambar Vellari, 1, 10,2016-6-10
23,23,23,Bottle gourd / Suraikai, 1, 6,2016-6-10
24,24,24,Tomato / Thakkali, 1, 35,2016-6-10
25,25,25,Thatta payaru, 1, 35,2016-6-10
26,26,26,Lady’s Finger / Venda Kai, 1, 12,2016-6-10
27,27,27,Lemon / Elumbichai, 1, 100,2016-6-10
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2016-7-10
1,1,1,Beans Kolee / Avarai Kolee, 1, 30,2016-7-10
2,2,2,Avarai ottu, 1, –,2016-7-10
3,3,3,Beans, 1, 40,2016-7-10
4,4,4,Beetroot, 1, 10,2016-7-10
5,5,5,Bellary / Big Onion, 1, 23,2016-7-10
6,6,6,Cauliflower, 1 Flower, 15,2016-7-10
7,7,7,Small Onion / Chinna Vengayam, 1, 30,2016-7-10
8,8,8,Chaw Chaw, 1, 27,2016-7-10
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 10,2016-7-10
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 20,2016-7-10
11,11,11,Cluster Beans / Kothavarai, 1, 20,2016-7-10
12,12,12,Samba Chilli / Milagai Samba, 1, 15,2016-7-10
13,13,13,Round Chilli / Milagai Urundai, 1, 15,2016-7-10
14,14,14,Radish / Mullangi, 1, 9,2016-7-10
15,15,15,Drumstick / Murungai Chedi, 1, 28,2016-7-10
16,16,16,Drumstick / Murungai Maram, 1, 25,2016-7-10
17,17,17,Nelli Kai, 1, 25,2016-7-10
18,18,18,Bitter Gourd / Pakar kai, 1, –,2016-7-10
19,19,19,Perkangkai, 1, 20,2016-7-10
20,20,20,Snake Guard / Pudalai, 1, 10,2016-7-10
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 6,2016-7-10
22,22,22,Sambar Vellari, 1, 8,2016-7-10
23,23,23,Bottle gourd / Suraikai, 1, 7,2016-7-10
24,24,24,Tomato / Thakkali, 1, 40,2016-7-10
25,25,25,Thatta payaru, 1, 40,2016-7-10
26,26,26,Lady’s Finger / Venda Kai, 1, 17,2016-7-10
27,27,27,Lemon / Elumbichai, 1, 70,2016-7-10
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 25,2016-8-10
1,1,1,Beans Kolee / Avarai Kolee, 1, 25,2016-8-10
2,2,2,Avarai ottu, 1, –,2016-8-10
3,3,3,Beans, 1, 35,2016-8-10
4,4,4,Beetroot, 1, 8,2016-8-10
5,5,5,Bellary / Big Onion, 1, 20,2016-8-10
6,6,6,Cauliflower, 1 Flower, 13,2016-8-10
7,7,7,Small Onion / Chinna Vengayam, 1, 18,2016-8-10
8,8,8,Chaw Chaw, 1, 22,2016-8-10
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 15,2016-8-10
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 15,2016-8-10
11,11,11,Cluster Beans / Kothavarai, 1, 10,2016-8-10
12,12,12,Samba Chilli / Milagai Samba, 1, 30,2016-8-10
13,13,13,Round Chilli / Milagai Urundai, 1, 30,2016-8-10
14,14,14,Radish / Mullangi, 1, 9,2016-8-10
15,15,15,Drumstick / Murungai Chedi, 1, 20,2016-8-10
