,Commodity, Weight in Kg, Price in Rs,date_of_purchase
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-11-13
14,Mullaingi / முள்ளங்கி, 1, 10,2013-11-13
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-11-13
16,Murungai Maram / முருங்கை(மரம்), 1, 34,2013-11-13
17,Nelli / நெல்லி, 1, 28,2013-11-13
18,Pavarkai / பாகற்காய், 1, 17,2013-11-13
19,Perkangkai / பீர்க்கங்காய், 1, 17,2013-11-13
20,Pudalai / புடலங்காய், 1, 9,2013-11-13
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-11-13
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-11-13
23,Suraikai / சுரைக்காய், 1, 3,2013-11-13
24,Thakkali / தக்காளி, 1, 20,2013-11-13
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-11-13
26,Vendai / வெண்டைக்காய், 1, 10,2013-11-13
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-13
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-13
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-13
3,Beans / பீன்ஸ், 1, 12,2013-12-13
4,Beetroot / பீட்ரூட், 1, 10,2013-12-13
5,Bellary / பெல்லாரி, 1, 50,2013-12-13
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-13
7,C Vengayam / சின்னவெங்காயம், 1, 50,2013-12-13
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-13
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-13
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-13
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-13
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-13
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-13
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-13
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-13
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-13
17,Nelli / நெல்லி, 1, 18,2013-12-13
18,Pavarkai / பாகற்காய், 1, 14,2013-12-13
19,Perkangkai / பீர்க்கங்காய், 1, 10,2013-12-13
20,Pudalai / புடலங்காய், 1, 03,2013-12-13
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-13
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-13
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-13
24,Thakkali / தக்காளி, 1, 10,2013-12-13
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-13
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-13
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 40,2013-11-14
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-11-14
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-11-14
3,Beans / பீன்ஸ், 1, 21,2013-11-14
4,Beetroot / பீட்ரூட், 1, 10,2013-11-14
5,Bellary / பெல்லாரி, 1, 55,2013-11-14
6,C Flower / காளிபிளவர், 1Flower, 15,2013-11-14
7,C Vengayam / சின்னவெங்காயம், 1, 72,2013-11-14
8,Chaw Chaw / சவ்சவ், 1, 12,2013-11-14
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-11-14
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-11-14
11,Kothavarai / கொத்தவரை, 1, 22,2013-11-14
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-11-14
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-11-14
14,Mullaingi / முள்ளங்கி, 1, 10,2013-11-14
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-11-14
16,Murungai Maram / முருங்கை(மரம்), 1, 34,2013-11-14
17,Nelli / நெல்லி, 1, 28,2013-11-14
18,Pavarkai / பாகற்காய், 1, 17,2013-11-14
19,Perkangkai / பீர்க்கங்காய், 1, 17,2013-11-14
20,Pudalai / புடலங்காய், 1, 9,2013-11-14
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-11-14
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-11-14
23,Suraikai / சுரைக்காய், 1, 3,2013-11-14
24,Thakkali / தக்காளி, 1, 20,2013-11-14
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-11-14
26,Vendai / வெண்டைக்காய், 1, 10,2013-11-14
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 30,2013-12-14
1,Avarai Kolee / அவரை (கோலி), 1, 17,2013-12-14
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-14
3,Beans / பீன்ஸ், 1, 12,2013-12-14
4,Beetroot / பீட்ரூட், 1, 10,2013-12-14
5,Bellary / பெல்லாரி, 1, 50,2013-12-14
6,C Flower / காளிபிளவர், 1Flower, 12,2013-12-14
7,C Vengayam / சின்னவெங்காயம், 1, 50,2013-12-14
8,Chaw Chaw / சவ்சவ், 1, 10,2013-12-14
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 8,2013-12-14
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-12-14
11,Kothavarai / கொத்தவரை, 1, 15,2013-12-14
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-14
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 14,2013-12-14
14,Mullaingi / முள்ளங்கி, 1, 10,2013-12-14
15,Murungai chedi / முருங்கை(செடி), 1, 40,2013-12-14
16,Murungai Maram / முருங்கை(மரம்), 1, 53,2013-12-14
17,Nelli / நெல்லி, 1, 18,2013-12-14
18,Pavarkai / பாகற்காய், 1, 14,2013-12-14
19,Perkangkai / பீர்க்கங்காய், 1, 10,2013-12-14
20,Pudalai / புடலங்காய், 1, 03,2013-12-14
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2013-12-14
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 06,2013-12-14
23,Suraikai / சுரைக்காய், 1, 1.50,2013-12-14
24,Thakkali / தக்காளி, 1, 10,2013-12-14
25,Thatta payaru / தட்டப்பயிறு, 1, 07,2013-12-14
26,Vendai / வெண்டைக்காய், 1, 10,2013-12-14
